,Season,Player,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att.1,Yds.1,Yds/Att.1,TD.1,Off.Dvoa,Lastyear,Wei.Offense,Rank,Passoff.,Passrank,Rushoff.,Rushrank,Non-adj total,Non-adj Pass,Non-adj Rush,Var.,Rank,Sched,Rank,Drives,Yds/Dr,Pts/Dr,Tos/Dr,Int/Dr,Fum/Dr,Los/Dr,Plays/Dr,Top/Dr,Dsr,Fantasy Points
0,2016,Drew Brees,NO,16,16,471,673,70.0,5208,7.7,37,15,101.69,23,20,0.9,2,0.154,7.0,0.145,6.0,0.319,6.0,0.054,3.0,0.134,0.293,0.042,0.048,11.0,-0.022,2.0,177.0,38.27,2.65,0.13,0.085,0.045,27.17,6.4,167.0,0.764,332.32
1,2015,Drew Brees,NO,15,15,428,627,68.3,4870,7.8,32,11,101.03,24,14,0.6,1,0.105,7.0,0.126,5.0,0.301,7.0,-0.071,15.0,0.097,0.282,-0.065,0.063,15.0,-0.001,17.0,174.0,37.09,2.24,0.109,0.069,0.04,26.33,6.4,172.0,0.751,304.2
2,2014,Drew Brees,NO,16,16,456,659,69.2,4952,7.5,33,17,97.0,27,68,2.5,1,0.106,5.0,0.052,9.0,0.216,9.0,0.008,9.0,0.103,0.211,0.009,0.076,15.0,0.016,24.0,170.0,38.98,2.35,0.171,0.1,0.071,25.48,6.55,172.0,0.766,302.98
3,2013,Drew Brees,NO,16,16,446,650,68.6,5162,7.9,39,12,104.66,35,52,1.5,3,0.16,9.0,0.175,5.0,0.359,3.0,-0.053,19.0,0.137,0.325,-0.059,0.067,17.0,-0.038,7.0,173.0,36.58,2.4,0.087,0.069,0.017,28.0,6.35,179.0,0.743,357.68
4,2012,Drew Brees,NO,16,16,422,670,63.0,5177,7.7,43,19,96.34,15,5,0.3,1,0.119,2.0,0.132,6.0,0.247,9.0,0.016,11.0,0.129,0.27,0.002,0.062,17.0,0.003,14.0,181.0,35.8,2.35,0.127,0.105,0.022,23.97,5.97,153.0,0.733,345.58
5,2011,Drew Brees,NO,16,16,468,657,71.2,5476,8.3,46,14,110.63,21,86,4.1,1,0.33,11.0,0.39,1.0,0.501,3.0,0.185,2.0,0.331,0.514,0.17,0.064,14.0,0.019,27.0,174.0,42.44,2.98,0.109,0.08,0.029,28.24,6.61,176.0,0.788,391.64
6,2010,Drew Brees,NO,16,16,448,658,68.1,4620,7.0,33,22,90.86,18,-3,-0.2,0,0.064,2.0,0.072,11.0,0.208,12.0,-0.081,21.0,0.074,0.215,-0.068,0.058,10.0,-0.003,18.0,170.0,34.67,2.17,0.171,0.129,0.041,28.64,6.41,180.0,0.733,269.2
7,2009,Drew Brees,NO,15,15,363,514,70.6,4388,8.5,34,11,109.64,22,33,1.5,2,0.243,4.0,0.212,4.0,0.395,5.0,0.146,1.0,0.229,0.387,0.125,0.067,14.0,-0.011,11.0,176.0,36.32,2.56,0.148,0.068,0.08,31.19,5.94,170.0,0.742,292.42
8,2008,Drew Brees,NO,16,16,413,635,65.0,5069,8.0,34,17,96.24,22,-1,0.0,0,0.163,12.0,0.211,1.0,0.333,3.0,0.039,10.0,0.157,0.312,0.053,0.066,12.0,0.016,21.0,175.0,36.55,2.54,0.149,0.103,0.046,30.03,6.12,167.0,0.745,302.66
9,2007,Drew Brees,NO,16,16,440,652,67.5,4423,6.8,28,18,89.4,23,52,2.3,1,0.066,8.0,0.135,5.0,0.191,11.0,-0.034,18.0,0.06,0.183,-0.038,0.076,16.0,-0.013,6.0,177.0,32.1,1.92,0.164,0.102,0.062,28.63,6.09,168.0,0.719,257.12
10,2006,Drew Brees,NO,16,16,356,554,64.3,4418,8.0,26,11,96.23,42,32,0.8,0,0.1,25.0,0.126,7.0,0.232,8.0,0.052,10.0,0.102,0.258,0.024,0.082,23.0,-0.01,9.0,183.0,33.98,2.17,0.126,0.071,0.055,29.22,5.96,166.0,0.708,259.92
11,2005,Drew Brees,SD,16,16,323,500,64.6,3576,7.2,24,15,89.22,21,49,2.3,1,0.221,7.0,0.127,7.0,0.318,8.0,0.247,2.0,0.177,0.246,0.231,0.135,29.0,-0.032,1.0,173.0,31.84,2.35,0.139,0.092,0.046,30.42,6.01,175.0,0.731,209.94
12,2004,Drew Brees,SD,15,15,262,400,65.5,3159,7.9,27,7,104.78,53,85,1.6,2,0.167,12.0,0.15,7.0,0.469,3.0,0.047,12.0,0.185,0.502,0.053,0.064,10.0,0.026,24.0,170.0,33.46,2.54,0.094,0.047,0.047,32.67,5.94,176.0,0.737,240.66
13,2003,Drew Brees,SD,11,11,205,356,57.6,2108,5.9,11,15,67.49,21,84,4.0,0,0.041,15.0,0.073,12.0,-0.019,22.0,0.261,2.0,0.027,-0.026,0.239,0.17,32.0,0.001,18.0,184.0,27.24,1.65,0.163,0.103,0.06,30.8,5.34,146.0,0.664,110.82
14,2002,Drew Brees,SD,16,16,320,526,60.8,3284,6.2,17,16,76.89,38,130,3.4,1,0.018,17.0,0.004,17.0,0.045,20.0,0.086,9.0,0.041,0.084,0.094,0.076,18.0,0.032,31.0,184.0,29.09,1.66,0.114,0.087,0.027,31.41,5.68,161.0,0.679,188.36
15,2001,Drew Brees,SD,2,0,15,27,55.6,221,8.2,1,0,94.83,2,18,9.0,0,0.0,29.0,-0.06,22.0,0.123,11.0,-0.043,23.0,0.015,0.137,-0.026,0.071,16.0,0.011,22.0,188.0,26.88,1.56,0.149,0.096,0.053,32.35,5.56,155.0,0.646,14.64
